专利信息,申请时间,申请号,授权号,授权时间,国际,国内,发明人1,发明人2,发明人3,发明人4,发明人5,简介/摘要,,,,,,,,,,
一种自组织网络的抗干扰通信控制方法,2011.06.29,201110179149.7,  , ,,是,冷甦鹏,王永鑫,于秦,王翔,,本发明属于移动通信技术领域，公开了一种自组织网络的抗干扰通信控制方法。针对现有的自组织网络中单独的利用发送速率或发送功率控制通信节点通信质量的问题，本发明的方法引入了认知无线电的概念，把外界干扰源当作主用户处理，无线通信节点作为次用户通过调整其MAC层的发送功率和发送速率来适应自组织网络中的外界干扰，进而提高了整体网络的抗干扰能力和服务质量。具体包括：建立目标函数，利用检测外界干扰源的功率计算出信号干扰噪声比，利用初始化的可行点迭代求解最优解，无线通信节点根据最优解调整自身的发送功率和发送速率。,,,,,,,,,,
无线信道访问控制方法,2011.08.22,2.0111E+11,  , ,,是,冷甦鹏,刘畅玥,邵彩幸,方飞,,本发明公开了一种无线信道访问控制方法，包括：步骤1：对网络中不同的接入类型进行优先级区分；步骤2：针对不同的优先级设置不同的分组重传概率，对不同优先级节点的发送概率进行动态求解；步骤3：根据求得的不同优先级信息的发送概率，在同一时隙里竞争发送数据。本发明的方法通过调整不同优先级节点的分组重传概率，可以动态得到不同优先级信息的发送概率，使具有更高发送概率的节点动态调整等待发送的时隙长度，进而有效地保证了重要信息具有更高的优先级，能够得到更快地投递，能够实现保证QoS基础上信道的最有效利用。,,,,,,,,,,
基于信息相关性的车用无线自组织网安全信息的投递方法,2011.09.15,201110273153.X,  , ,,是,冷甦鹏,黄龙娇,邵彩幸,段景山,,本发明将安全信息的影响时间、影响距离和影响车道作为相关性参数，设计一种基于信息相关性的VANET安全信息投递策略，减少冗余报文发送，降低报文碰撞。为了实现上述目的，本发明提供了一种技术方案：一种基于信息相关性的VANET安全信息投递策略，源节点在发送安全信息之前，将根据安全信息的类型设置剩余影响时间，影响距离和影响车道等相关性参数，转发节点接收到安全信息时将根据安全信息的相关性参数和邻居信息决定中继策略。,,,,,,,,,,
一种频谱感知方法,2011.08.19,201110239174.X,  , ,,是,张科,李维昌,毛玉明,冷甦鹏,,本发明公开了一种频谱感知方法，包括如下步骤：各次用户节点采用能量检测方式进行独立感知，获取本节点周边的频谱使用情况；各个次用户节点在两跳邻居范围内扩散最新的检测结果；计算各个次用户节点的本地感知信息和协同感知信息；根据主用户通信行为先验知识和协同感知信息得到判决门限并进行判决。本发明的频谱感知方法不需要专门指定汇聚节点或进行分簇运算，次用户节点的本地感知信息扩散被限制在其两跳范围之内，有效降低了分布式认知网络中的协同检测的复杂度和协同开销。,,,,,,,,,,
基于业务的分布式多径路由修复方法,2012.03.16,201210070122.9,  , ,,是,张科,赵全鑫,毛玉明,冷甦鹏,,本发明公开了一种分布式多径路由修复方法，包括步骤：收到RRER报文的节点发起路由查找；中间节点判断收到的RREQ报文；中间节点转发带链路参数的RREQ报文；目的节点对带参数RREQ报文进行路径选择；目的节点回送RREP报文，建立修复路由。本发明的方法针对Ad hoc网络中不同链路的传输特征并结合承载业务的QoS需求，在多条可选修复路径中，选择既能满足承载业务QoS需求，同时具有最小修复开销的多条传输路径实现网络修复，有效提升了修复收益和已修复网络的抗毁性。,,,,,,,,,,
一种用于异构无线网络的多业务并发接入系统及接入方法,2011.12.09,201110408339.1,  , ,,是,吴凡,吴小波,冷甦鹏,黄晓燕,,本发明公开了一种用于异构无线网络的多业务并发接入系统及接入方法，所述接入系统包括多模用户端、异构无线网络和无线资源管理节点，其中，多模用户端包括并发接入控制模块，用于业务接入申请和业务接入控制；异构无线网络包括SCA_A模块，用于完成网络监测，同时与所述的无线资源管理节点进行交互；无线资源管理节点用于异构无线网络的资源监控和执行并行网络接入决策。本发明的系统和方法通过SCA_C模块、SCA_A模块以及SCA_S模块进行交互，在多个网络同时覆盖的范围内，在进行用户多业务并发接入时，综合网络资源状况、业务友好度、网络费用、业务查询报文信息，选择最佳网络，保证业务质量，达到资源的最大利用。,,,,,,,,,,
无线传感器网络及其编址、寻址方法,2011.03.30,201110078465.5,   , ,,是,李龙江,刘强,毛玉明,,,,,,,,,,,,,
面向传感业务应用的无线传感器网络的编址和寻址方法,2011.10.19,201110318041.1,  , ,,是,李龙江,怀楚凡,,,,本发明涉及面向传感业务应用的无线传感器网络的编址方法，包括如下步骤：步骤A.传感器节点向sink节点上传传感数据；步骤B.sink节点对上传的传感数据进行处理形成一个或多个传感业务应用并将该传感业务应用存储到sink节点上；步骤C.为上述传感业务应用分配IP地址。本发明的有益效果是：本申请的编址寻址方式更为符合传感器网络面向数据的这一网络特点。同时，通过对传感业务应用进行IP地址配置，用户可以通过访问Internet直接获得由WSN提供的传感业务应用，因此有利于WSN的推广与普及。,,,,,,,,,,
一种无线终端动态接入方法,2011.10.10,201110303905.2,  , ,,是,李龙江,袁银霞,毛玉明,冷甦鹏,,本发明公开了一种无线终端动态接入方法。本发明的方法通过设定无线终端接入网络的接入概率阀值和最大延迟时间，在最大延迟时间内，移动终端动态寻找距离此无线终端跳数最少，并且满足接入条件的接入点，若能找到，则建立所述无线终端到接入点的连接，这样就可以在无线终端移动的过程中找到最短的路径接入网络，链路开销比较小；若不能在最大延迟时间内找到满足条件的接入点，则在最大延迟时间那个时刻建立所述无线终端到接入点的连接，由于在整个最大延迟接入时间内没有找到符合条件的接入点，这样在整个最大延迟时间内都不会建立连接，使得网络在相对比较长的一段时间内避免网络拥塞。,,,,,,,,,,
多跳网络的端到端匿名安全通信方法,2011.03.23,201110071030.8, , ,,是,李龙江,怀楚凡,,,,本发明涉及多跳网络的端到端匿名安全通信方法，包括步骤：步骤1：匿名路由的初始化；步骤2：匿名安全通信的通道建立；步骤3：匿名安全通信的进行：匿名安全通信的通道建立后，源节点和目的节点交替循环进行匿名安全通信，所述源节点在每次匿名安全通信前交替更新临时地址和公钥，而目的节点在每次匿名安全通信前改变公钥但在整个通信过程中不改变临时地址。本发明的有益效果：不需要用权威节点对中间节点的安全性能进行认证，也不需不断更新地址和公私钥，不仅保证了通信的安全性，而且提高了效率。,,,,,,,,,,
适用于大规模移动对等网络的高效地址分配方法,2011.03.23,200510029485.8,   , ,,是,李龙江,许晓鸣,,,,一种适用于大规模移动对等网络的高效地址分配方法，属于网络技术移动对 等网络领域。本发明基于概率选择一个节点作为地址分配的起点，并为该节点配 置地址，赋予元地址资源，未配置地址的节点则周期地向相邻节点发送地址请求， 收到地址请求的节点，如果拥有元地址资源，则通过一个局部的决策过程决定向 发出请求节点分发元地址，收到元地址的节点，如果尚未配置地址，则为自己配 置地址，需要离开网络的节点可以将自己的地址作为元地址转交给任何一个相邻 节点，从而实现地址回收。本发明能适应不同节点密度和节点移动性的大规模网 络，复杂度低，通信开销低，延迟低，且地址编码极其经济。,,,,,,,,,,
网络的按需时间同步方法,2010.11.24,201010557701.7,  , ,,是,李龙江,毛玉明,冷甦鹏,,,本发明涉及网络的按需时间同步方法，包括如下步骤：步骤1.按需计算本地节点与邻居节点时钟差异：每个本地节点维护独立的本地时钟步进节奏，仅当与邻居节点间没有同步且存在通信时，才需要计算与该邻居节点之间的时钟差异；步骤2.本地节点与邻居节点之间的时钟同步。本发明的有益效果是：本发明的方法能适应不同网络拓扑架构和动态性差异，实现复杂度低，完全分布式计算，通信开销少。,,,,,,,,,,
一种新型核心树自组织动态路由算法,2004.01.14,CN200410021667.6,ZL200410021667.6,2007.10.31,,是,毛玉明,郭伟,段景山,杨宁,吕灵,本发明公开了一种新型核心树自组织动态路由算法，它包括核心树的生成过程、核心树的动态维护过程和基于核心树的路由选择过程，根据源节点与目的节点的相对级别关系，把传输路径分成两个方向——下行的已知目的地址方向和上行的未知目的地址方向，从而实现核心树的路由选择；通过适应节点移动等情况引起的通信拓扑结构变化，局部重构核心树，实现核心树动态维护。采用本发明的方法，可以将无线自组织网络构造成一个树形拓扑结构，并在该树形结构上实现路由选择和通信。本发明的方法简单有效，构成的网络稳定可靠，方法切实可行。,,,,,,,,,,
一种IPv4/IPv6转换网关以及转换方法,2011.07.21,201110204906.1,  , ,,是,毛玉明,李龙江,吕浩,刘婷,,本发明属于计算机网络通信技术领域，公开了一种IPv4/IPv6转换网关以及转换方法。本发明的转换网关包括：调度模块、收发数据包模块、IPv4/IPv6地址映射模块、地址转换模块和协议转换模块，其根据设定的地址映射表实现IPv4地址与IPv6地址的相互转换，不需要保持大量的转换状态，降低了复杂度，能够为IPv4和IPv6网络的所有主机提供全功能的服务。本发明的方法只需要在IPv4网络与IPv6网络之间安装一个无状态转换网关，采用转换网关以后并没有改变两种网络的架构，由于它不转发一般帧，所以两种网络的冲突域与广播域也是基本隔离的，对两种网络的影响很小。,,,,,,,,,,
一种高抗毁性的分布式用户网间移动管理方法,2004.01.08,200410021623.3,ZL200410021623.3,2007.08.15,,是,田永春,郭伟,毛玉明,余敬东,苏俭,本发明公开了一种高抗毁性的分布式用户网间移动管理方法，它是采用在现有的管理实体上通过对管理的机制的改变从而实现用户的位置更新和查询方法的改变。本发明的家乡代理可以根据网络的状况和实际使用情况自动生长和同步，可以完成用户的分布式用户登记和查询。利用现有的无线接入网如802.11网，采用本发明的方法通过对管理实体的软件编程就可以构成一个高抗毁性和可靠性通信网络，实现在一些紧急场合(例如在发生地震、大范围的自然灾害以及军事应用等情况下)的通信需要。,,,,,,,,,,
一种通用的无线传感器网络系统及其信息处理方法,2010.09.29,201010503835,  , ,,是,刘强,冷甦鹏,毛玉明,宋建全,杨光,本发明公开了通用无线传感器网络系统及其信息处理方法，属于传感网络及物联网技术领域，所述通用的无线传感器网络系统，包括：由传感器节点组成的一个或多个传感器子网；由信息汇聚节点组成的信息汇聚网，其中，所述每一信息汇聚节点用于接入一个或多个相同或不同的传感器节点，获取传感器节点的传感信息；由接入汇聚节点组成的传感接入网，其中，每一接入汇聚节点用于接入一个或多个信息汇聚节点，获取信息汇聚节点的信息。本发明实现了组网方式的统一，达到兼容多种传感器网络的效果，可在任何一种或多种传感器网络环境下应用，尤其适合类似物联网的大规模异构传感网的综合应用场景。,,,,,,,,,,
一种基于分级重心估计的二维超声形变组织图像跟踪方法 ,2011.09.17,201010284626.1,  , ,,是,蒋体钢,尹立雪,,,,本发明公开了一种基于分级重心估计的二维超声形变组织图像跟踪方法，是把某帧图像的兴趣ROI分为16级子区域，分别求出各个子区域的重心；并通过遍历搜索区域，以各个子区域重心位置相似差最小化为标准，求得下一帧图像ROI新位置可能的16个位置；再根据SAD方法，选择一个与上一帧图像ROI差别最小的作为斑点跟踪的结果。本发明能够有效降低传统手动跟踪计算斑点位置的工作量，提高处理的实际和数据处理的重复性，同时，相比传统SAD斑点跟踪方法，本发明通过多区域重心估计匹配的方法，特别有利于形变组织的跟踪。,,,,,,,,,,
基于多邻域辅助二维超声形变组织图像跟踪方法及装置,2011.09.17,201110164583.8,  , ,,是,蒋体钢,尹立雪,,,,本发明设计一种基于多邻域辅助二维超声形变组织图像跟踪方法，该方法首先在高帧频条件下采集受试心脏对象的二维超声心动图用于脱机分析；然后以任意可见图像作为兴趣区域（ROI）选取的初始帧，使ROI包括心肌组织，并同时排除灰度信号干扰；当在原始图像I上的初始帧ROI选取完毕后，设定以原ROI为中心，连同包裹其四周的8个同大小区域作为新的搜索源区域，并通过SAD算法遍历此搜索区域中所有大小为原ROI大小的所有子区域的跟踪矢量，最后将各个跟踪矢量进行加权平均，即得到原ROI的跟踪结果。相比传统SAD跟踪方法，本发明充分考虑了ROI邻域的跟踪结果，具有良好的抗噪性，特别有利于运动组织的运动评估和参数计算。,,,,,,,,,,
基于心肌运动轨迹的向量环图生成方法和装置 ,2011.06.17,201110163626,  , ,,是,蒋体钢,尹立雪,,,,本发明本公开了一种基于心肌运动轨迹的向量环图生成方法和装置，利用该方法生成的向量环可以用于心肌功能评价。本发明的方法利用斑点跟踪算法，对兴趣区域运动关键点进行捕获，生成运动轨迹向量环。该向量环具有极强的在时间轴上的直观性，通过直观同步显示心肌运动轨迹向量环规律，让医师能够一眼就能判别兴趣区域是否可能存在病变。,,,,,,,,,,
